state,id,ppl,per million
AK,39,4850771,8.039959008578224
AL,104,738565,140.81360476058302
AR,83,6809946,12.188055529368368
AZ,254,2977944,85.29374628938623
CA,799,38982847,20.49619413379428
CO,195,5436519,35.868540144897864
CT,21,3594478,5.842294764357996
DC,13,943732,13.775097167416174
DE,13,672391,19.333988705976136
FL,350,20278447,17.25970435507216
GA,182,10201635,17.840277563351364
HI,30,1421658,21.102121607306398
IA,32,1657375,19.307640093521382
ID,42,12854526,3.267331677574109
IL,104,6614418,15.723227652077627
IN,95,3118102,30.467252193802512
KS,50,2903820,17.218698128671885
KY,95,4424376,21.471954463183057
LA,109,4663461,23.37319857504973
MA,35,1330158,26.312663608383364
MD,79,5996079,13.17527670999665
ME,22,6789319,3.2403839030100072
MI,78,9925568,7.858492330111487
MN,61,5490726,11.109641967200695
MO,141,2986220,47.21688288203816
MS,65,6075300,10.699060128717923
MT,31,1029862,30.10112034427914
NC,156,1893921,82.36879996578527
ND,11,2887725,3.8092269866417334
NE,24,1331848,18.0200743628402
NH,13,8960161,1.4508667868802805
NJ,68,2084828,32.61659954682113
NM,106,19798228,5.354014510793593
NV,96,10052564,9.549802418567044
NY,101,745475,135.48408732687213
OH,155,11609756,13.350840448326391
OK,164,3896251,42.09174408938233
OR,88,4025127,21.862664209104455
PA,108,12790505,8.443763557420134
RI,4,1056138,3.787383845671683
SC,88,4893444,17.983244520628006
SD,17,855444,19.87272106648711
TN,139,6597381,21.06896660962888
TX,481,27419612,17.542188416086994
UT,60,2993941,20.040475079502237
VA,95,624636,152.08857638688772
VT,9,8365952,1.0757891032604538
WA,152,7169967,21.199539691047395
WI,91,1836843,49.541523145962934
WV,54,5763217,9.369766920107294
WY,14,583200,24.00548696844993
