类别：所有类别

月份,fatal police shooting: (美国)
2015-05,34
2015-06,23
2015-07,11
2015-08,18
2015-09,25
2015-10,20
2015-11,17
2015-12,42
2016-01,8
2016-02,15
2016-03,8
2016-04,11
2016-05,17
2016-06,12
2016-07,100
2016-08,30
2016-09,66
2016-10,33
2016-11,30
2016-12,8
2017-01,13
2017-02,25
2017-03,15
2017-04,21
2017-05,19
2017-06,11
2017-07,17
2017-08,13
2017-09,16
2017-10,7
2017-11,8
2017-12,21
2018-01,25
2018-02,8
2018-03,7
2018-04,13
2018-05,13
2018-06,21
2018-07,16
2018-08,13
2018-09,18
2018-10,8
2018-11,13
2018-12,5
2019-01,24
2019-02,21
2019-03,17
2019-04,23
2019-05,17
2019-06,21
2019-07,5
2019-08,13
2019-09,17
2019-10,7
2019-11,10
2019-12,7
2020-01,4
2020-02,7
2020-03,14
2020-04,6
2020-05,28
2020-06,89
2020-07,24
2020-08,11
2020-09,30
2020-10,21
2020-11,14
2020-12,12
2021-01,23
2021-02,8
2021-03,0
2021-04,41
2021-05,8
